channel_id,channel_title,start_date,video_count,view_count,subscriber_count
UCGcW1IvvBzwUgOPNQsbUSSQ,Sports Wars,2017-01-02T16:19:10Z,3245,88888016,165000
UC1VU-FHvhbom5tPSCEB-e4g,Amazon Prime Video Sport,2020-02-11T16:35:46.052522Z,1584,236976267,606000
UCYEOwWjtYYc9gPf4dI4KKDA,DP Education Sports,2023-12-19T09:00:53.478624Z,110,195545,6990
UCWt0yfrBaUk148rxaOp4b4w,日テレスポーツ【公式】,2022-03-14T09:40:10.080636Z,2394,84293238,127000
UCvdA3riZksba3Mji64PaNQw,NTV Sports,2018-10-30T09:23:26Z,13312,548241128,642000
UCfWaYoWWSlY-K2TJU0UW-pQ,J SPORTS 野球【公式】,2023-01-24T01:04:25.111568Z,384,15126348,39700
UCKaPEqS_Mc6eGNNBQN1QgQw,PHNX Sports,2021-09-09T00:08:20.383162Z,8018,12789832,25500
UC-MxP5JHqHDhIYzryBdPkUA,SOMOY SPORTS,2018-05-06T07:04:52Z,18479,233111816,626000
UCew5br5cO1ZKO7Z_F1WA8Bg,ThatsGoodSports,2012-06-01T05:32:41Z,2945,215146488,577000
UC34vLhjOu35pJwcfT92wPMw,Deník Sport,2019-02-15T12:13:07Z,1388,16712164,26700
UCPUgmq6tpFXvE89R7q-tDwQ,Sactown Sports 1140,2018-03-20T17:16:17Z,4400,2806307,9240
UChFriWtnm5Q9gvbVAtfYnhg,SPU Sports,2009-07-30T16:50:56Z,3045,610508,2120
UCQk7fWv15ChjMJLCRVmtApw,World Athletics,2010-03-05T14:12:33Z,6975,793229817,1540000
UC4x0_RNxoNkfM8WtRWPoxWw,Driving Sports TV,2006-03-17T05:00:13Z,850,131953339,349000
UCZ5C1HBPMEcCA1YGQmqj6Iw,USA TODAY Sports,2014-11-06T19:39:38Z,5804,24242077,58700
UCHKtXGbqRIM0hA4Manb9DNg,Ada Derana Sports,2022-02-10T07:07:33.129339Z,225,3792796,23600
UC-QWXZz-U3UT39eEYzvjNYA,Daily Sports With Rahul,2023-10-08T17:35:58.963374Z,639,1949513,13800
UCQW8Xem_w55qrkwnL-jrI3Q,TNL Sports,2017-01-28T23:37:09Z,34,310656,2320
UCjFw-0Vdfy2KW78NClGECXw,Sports Yaari,2021-03-05T13:24:54.900923Z,14441,618521700,829000
UCzrdtk6p4SaakMz2ZmOkCQQ,ABS-CBN Sports,2009-01-19T08:02:59Z,24188,569180003,1590000
UCWFbO7e_LFBgyNJ2W7oMWhw,Sports Cards Live,2020-04-12T07:06:50.533646Z,690,747985,6410
UCwCr9YupfoTfGl9uIrDSX6w,Jim Riley | BALLCAP Sports,2007-01-19T13:32:49Z,1082,11360917,44600
